cluster	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
NFOL2	gene-b0612	1.41E-83	0.403863699	0.996	0.98	1.93E-79
NFOL2	gene-b0613	1.92E-83	-0.633469032	0.984	0.994	2.63E-79
NFOL2	gene-b0614	2.65E-82	-0.94899228	0.347	0.742	3.63E-78
MFOL1	gene-b0811	3.43E-82	0.924351523	0.434	0.111	4.70E-78
MFOL1	gene-b0812	1.48E-80	0.490925332	0.988	0.9	2.03E-76
MFOL1	gene-b0813	1.63E-80	0.464337125	0.987	0.941	2.23E-76
MFOL1	gene-b4736	3.04E-79	0.383570151	0.997	0.976	4.18E-75
MFOL1	gene-b0814	1.18E-78	-0.768415565	0.741	0.897	1.62E-74
MFOL1	gene-b0815	2.61E-78	0.668953824	0.847	0.408	3.58E-74
MFOL1	gene-b4416	4.69E-77	-2.462427293	0.122	0.492	6.43E-73
MFOL1	gene-b4705	9.73E-77	0.359264449	0.999	0.987	1.33E-72
MFOL1	gene-b0817	2.42E-76	-1.102125094	0.34	0.685	3.32E-72
MFOL1	gene-b0818	2.40E-73	0.363733782	0.996	0.981	3.30E-69
MFOL2	gene-b1004	1.05E-72	0.349485108	0.996	0.991	1.43E-68
MFOL2	gene-b4518	7.88E-71	0.401149494	0.984	0.963	1.08E-66
MFOL2	gene-b1006	2.48E-70	-1.962570575	0.094	0.447	3.41E-66
MFOL2	gene-b1007	3.09E-70	-1.354088802	0.978	0.992	4.24E-66
MFOL2	gene-b1008	1.80E-67	-0.707204733	0.656	0.865	2.47E-63
MFOL2	gene-b1009	4.80E-67	-1.357596921	0.355	0.668	6.58E-63
MFOL2	gene-b1010	8.48E-66	0.36079705	0.988	0.982	1.16E-61
MFOL2	gene-b1011	3.74E-63	0.262904709	0.999	0.993	5.13E-59
MFOL2	gene-b1012	8.74E-63	0.301091574	0.996	0.983	1.20E-58
MFOL2	gene-b1013	1.14E-60	-2.435031935	0.165	0.478	1.56E-56
MOL5	gene-b1207	1.19E-60	-1.567322833	0.967	0.995	1.63E-56
MOL5	gene-b1208	1.22E-60	-1.20982079	0.289	0.608	1.67E-56
MOL5	gene-b1209	2.12E-60	0.369794124	0.983	0.943	2.91E-56
MOL5	gene-b1210	4.42E-60	-0.991289905	0.695	0.811	6.06E-56
MOL5	gene-b1211	3.03E-58	0.347126393	0.986	0.972	4.16E-54
MOL5	gene-b1212	4.86E-57	-1.443475275	0.113	0.429	6.67E-53
MOL5	gene-b1213	5.22E-57	-0.626605951	0.751	0.884	7.16E-53
MOL5	gene-b1214	7.31E-57	-1.881283675	0.124	0.435	1.00E-52
MOL5	gene-b1215	1.04E-56	0.28046861	1	0.989	1.43E-52
MOL5	gene-b4419	1.18E-55	-1.215425546	0.224	0.539	1.62E-51
MOL5	gene-b1587	1.06E-50	0.4875982	0.904	0.792	1.45E-46
MOL5	gene-b1588	2.57E-50	0.350838021	0.986	0.952	3.52E-46
MOL5	gene-b1589	7.36E-50	-1.502969181	0.016	0.286	1.01E-45
MOL5	gene-b1590	9.50E-50	-1.199558891	0.465	0.681	1.30E-45
MOL5	gene-b1591	3.44E-49	-1.37779661	0.032	0.31	4.72E-45
MOL5	gene-b1592	5.18E-49	-0.715208221	0.588	0.795	7.10E-45
MOL5	gene-b1593	7.12E-49	0.339542179	0.981	0.936	9.76E-45
MOL5	gene-b1594	1.73E-48	0.565036986	0.709	0.403	2.37E-44
MOL5	gene-b1595	1.32E-47	-1.000637537	0.148	0.446	1.81E-43
MOL5	gene-b1596	2.09E-47	0.371661667	0.975	0.966	2.86E-43
MOL6	gene-b1389	1.89E-55	-0.938086795	0.185	0.52	2.59E-51
MOL6	gene-b1390	2.70E-55	0.343450172	0.983	0.964	3.70E-51
MOL6	gene-b1391	4.15E-55	-1.250821713	0.036	0.34	5.69E-51
MOL6	gene-b1392	2.79E-54	0.322258932	0.996	0.978	3.83E-50
MOL6	gene-b1393	1.45E-53	-1.299944517	0.317	0.586	1.99E-49
MOL6	gene-b1394	3.41E-53	-0.513785851	0.913	0.953	4.68E-49
MOL6	gene-b1395	1.49E-52	-3.035229433	0.139	0.431	2.04E-48
MOL6	gene-b1396	6.07E-52	-1.151051737	0.301	0.575	8.33E-48
MOL6	gene-b1397	6.42E-52	-0.637577166	0.767	0.868	8.81E-48
MOL6	gene-b1398	1.12E-51	0.353168298	0.988	0.946	1.54E-47
VLMC	gene-b1783	2.98E-47	-0.505328073	0.676	0.838	4.09E-43
VLMC	gene-b1784	6.58E-47	0.663234735	0.624	0.359	9.02E-43
VLMC	gene-b1785	8.79E-47	-1.091143778	0.019	0.278	1.21E-42
VLMC	gene-b1786	3.60E-46	0.738786628	0.333	0.11	4.93E-42
VLMC	gene-b1787	4.09E-46	0.38372678	0.961	0.885	5.61E-42
VLMC	gene-b1788	5.18E-46	-2.723687759	0.075	0.344	7.11E-42
VLMC	gene-b1789	1.35E-45	-1.129854872	0.027	0.285	1.85E-41
VLMC	gene-b1790	1.75E-45	-1.76609827	0.097	0.361	2.39E-41
VLMC	gene-b1791	1.83E-44	-2.576155371	0.466	0.652	2.51E-40
VLMC	gene-b1792	1.84E-44	-1.31028567	0.039	0.293	2.52E-40
MOL3	gene-b1981	2.10E-44	0.415895204	0.939	0.855	2.89E-40
MOL3	gene-b1982	3.18E-44	-0.895285004	0.025	0.278	4.36E-40
MOL3	gene-b1983	8.04E-44	0.428626813	0.896	0.777	1.10E-39
MOL3	gene-b1984	1.02E-43	0.280380338	0.996	0.984	1.40E-39
MOL3	gene-b1985	1.45E-42	-1.048913051	0.051	0.305	1.99E-38
MOL3	gene-b1986	2.08E-42	-1.600488661	0.032	0.274	2.86E-38
MOL3	gene-b1987	2.80E-42	-0.770846675	0.252	0.539	3.83E-38
MOL3	gene-b1988	7.00E-42	0.680740636	0.318	0.109	9.60E-38
MOL3	gene-b1989	3.20E-41	-0.998810776	0.039	0.286	4.39E-37
MOL3	gene-b1990	1.22E-40	0.486207782	0.906	0.9	1.67E-36
MOL2	gene-b2181	1.63E-40	0.498184031	0.835	0.695	2.24E-36
MOL2	gene-b2182	2.42E-40	-1.069572406	0.059	0.309	3.33E-36
MOL2	gene-b2183	2.69E-40	-0.936443356	0.001	0.219	3.69E-36
MOL2	gene-b2184	3.13E-40	0.39514156	0.907	0.802	4.29E-36
MOL2	gene-b2185	4.48E-40	0.299211272	0.973	0.953	6.15E-36
MOL2	gene-b2186	5.01E-40	0.539248341	0.609	0.331	6.88E-36
MOL2	gene-b2187	1.68E-39	-1.057602771	0.236	0.477	2.31E-35
MOL2	gene-b2188	1.26E-38	-0.822374639	0.313	0.547	1.72E-34
MOL2	gene-b2189	1.43E-38	-2.389233764	0.119	0.365	1.97E-34
MOL2	gene-b2192	1.55E-38	-1.072057052	0.065	0.306	2.12E-34
MOL4	gene-b2383	2.51E-38	0.35189873	0.949	0.87	3.45E-34
MOL4	gene-b2384	4.25E-38	0.315387791	0.983	0.94	5.82E-34
MOL4	gene-b2385	6.82E-38	-1.309804047	0.051	0.281	9.35E-34
MOL4	gene-b2386	9.17E-38	-0.874710559	0.025	0.246	1.26E-33
MOL4	gene-b2387	1.20E-37	-0.801660483	0.239	0.504	1.65E-33
MOL4	gene-b2388	2.18E-37	0.595394643	0.421	0.188	2.99E-33
MOL4	gene-b2389	8.69E-37	-0.884589899	0.111	0.36	1.19E-32
MOL4	gene-b2390	2.04E-36	-0.442962498	0.78	0.881	2.79E-32
MOL4	gene-b2392	5.39E-36	0.324096336	0.931	0.867	7.39E-32
MOL4	gene-b2393	1.98E-35	0.337888792	0.936	0.835	2.71E-31
MOL1	gene-b2575	3.58E-35	-0.928105044	0.043	0.264	4.91E-31
MOL1	gene-b2576	4.62E-35	0.313877717	0.954	0.896	6.33E-31
MOL1	gene-b2577	1.21E-34	-0.8861993	0.169	0.412	1.67E-30
MOL1	gene-b2578	1.96E-34	-0.806715827	0.025	0.231	2.69E-30
MOL1	gene-b2579	2.51E-34	-1.196500828	0.249	0.48	3.44E-30
MOL1	gene-b2580	3.76E-34	-0.710476481	0.023	0.229	5.15E-30
MOL1	gene-b2581	4.24E-33	-1.26467909	0.08	0.298	5.82E-29
MOL1	gene-b2582	4.97E-33	0.267313699	0.987	0.964	6.82E-29
MOL1	gene-b2583	6.22E-33	-0.734483923	0.152	0.401	8.53E-29
MOL1	gene-b2584	7.74E-33	-0.817316183	0.025	0.224	1.06E-28
